Codigo,Este,Norte,Bloque,Microc,Dist,Prov,Depart,Orden,Long,Alt_min,Alt_max,Alt_prom,Pend_prom,Iirreg,NDVI,Cl_Morf,Cl_NDVI
CV 1 - 56,621265.31,9452783,56,C1096-Q9564,FRIAS,AYABACA,PIURA,1,5.82,2342,2345,2344.46,16.89,10.03,0.69,Pendiente moderada,Vegetación alta
CV 2 - M2B8,638208.15,9398133,M2B8,C1076-Q9584,SAN MIGUEL DE EL FAIQUE,HUANCABAMBA,PIURA,2,20.13,248,249,248.5,5.17,3.08,0.34,Pendiente suave,Vegetación mediana
CV 3 - M17B5,608596.92,9445929.3,M17B5,C1096-Q9556,FRIAS,AYABACA,PIURA,3,24.9,836,837,836.5,6.66,5.04,0.54,Pendiente moderada,Vegetación alta
CV 4 - M6B2-1,613884.7,9411595.5,M6B2-1,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,4,32.97,265,268,266.33,7.82,4.87,0.2,Pendiente moderada,Vegetación ligera
CV 5 - M2B8,638998.57,9398855.35,M2B8,C1076-Q9584,SAN MIGUEL DE EL FAIQUE,HUANCABAMBA,PIURA,5,50.61,249,252,250.5,4.36,2.71,0.25,Pendiente suave,Vegetación ligera
CV 6 - M6B2-2,611538.51,9417753.46,M6B2-2,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,6,54.76,237,243,240,8.55,5.27,0.15,Pendiente moderada,Tierra desnuda
CV 7 - M17B7,608652.95,9448359.51,M17B7,C1096-Q9556,FRIAS,AYABACA,PIURA,7,64.8,799,816,807.4,16.59,9.95,0.51,Pendiente moderada,Vegetación alta
CV 8 - M11B3,641568.33,9413262.88,M11B3,C1081-Q9583,SAN JUAN DE BIGOTE,MORROPON,PIURA,8,65.38,279,286,282.33,6.44,3.75,0.3,Pendiente moderada,Vegetación mediana
CV 9 - M3B8,632155.23,9414995.99,M3B8,C1081-Q9582,SAN JUAN DE BIGOTE,MORROPON,PIURA,9,69.33,221,222,221.6,3.57,2.27,0.19,Pendiente suave,Vegetación ligera
CV 10 - M17B10,606168.28,9446969.43,M17B10,C1096-Q9556,FRIAS,AYABACA,PIURA,10,77.25,513,526,517.86,11.83,7.31,0.36,Pendiente moderada,Vegetación mediana
