BLOQUE;MICROCUENCA;PROVINCIA;DISTRITO;AREA_HA;ARCHIVO_EXCEL;ID_CARPETA_DRIVE;NOMBRE_CARPETA_DRIVE;ENLACE_CARPETA
2;C1096-Q9558;Morropon;Chulucanas;330.6;Plantilla_Excel_Bloque_2_IN_Piura.xlsx;14m7pq9_TP1_Ui9NDiF4aKJqjFVWVUp5z;DIAGNOSTICO BLOQUE 2;https://drive.google.com/drive/folders/14m7pq9_TP1_Ui9NDiF4aKJqjFVWVUp5z
3;C1096-Q9545;Ayabaca;Frias;459.29;Plantilla_Excel_Bloque_3_IN_Piura.xlsx;1XwIYna9HyuY27letXu6JxOp2S6yjpdrV;DIAGNOSTICO BLOQUE 3;https://drive.google.com/drive/folders/1XwIYna9HyuY27letXu6JxOp2S6yjpdrV
M19B7;C1086-Q9570;Morropon;Santo Domingo;34.17;Plantilla_Excel_Bloque_M19B7_IN_Piura.xlsx;1svW60f-SbOb7NaD20JVoNfT0Ng_ym5GF;DIAGNOSTICO BLOQUE M19B7;https://drive.google.com/drive/folders/1svW60f-SbOb7NaD20JVoNfT0Ng_ym5GF
M17B5;C1096-Q9556;Ayabaca;Frias;74.03;Plantilla_Excel_Bloque_M17B5_IN_Piura.xlsx;1tOrxQ-WFAWm4Cgjd4Uvw-lNatyc7YDF5;DIAGNOSTICO BLOQUE M17B5;https://drive.google.com/drive/folders/1tOrxQ-WFAWm4Cgjd4Uvw-lNatyc7YDF5
M17B1;C1096-Q9556;Morropon;Chulucanas;42.45;Plantilla_Excel_Bloque_M17B1_IN_Piura.xlsx;1RvPmDFXvYkk_PS6s2jIrCt5pAUkkoXkP;DIAGNOSTICO BLOQUE M17B1;https://drive.google.com/drive/folders/1RvPmDFXvYkk_PS6s2jIrCt5pAUkkoXkP
M8B2;C1096-Q9558;Morropon;Santo Domingo;35.35;Plantilla_Excel_Bloque_M8B2_IN_Piura.xlsx;13J4tcff_cYAOL0Annx8mR_UxRk4R2Nh_;DIAGNOSTICO BLOQUE M8B2;https://drive.google.com/drive/folders/13J4tcff_cYAOL0Annx8mR_UxRk4R2Nh_
M7B3;C1076-Q9581;Morropon;Salitral;65.74;Plantilla_Excel_Bloque_M7B3_IN_Piura.xlsx;1xJ_Nxzzbta7MvQJiuvSg0VbKONnX5SuN;DIAGNOSTICO BLOQUE M7B3;https://drive.google.com/drive/folders/1xJ_Nxzzbta7MvQJiuvSg0VbKONnX5SuN
M6B2-3;C1077-Q9566;Morropon;Buenos Aires;160.98;Plantilla_Excel_Bloque_M6B2-3_IN_Piura.xlsx;12whTxcIOAEoXo4-gRfG0ExMNgUhaMcMH;DIAGNOSTICO BLOQUE M6B2-3;https://drive.google.com/drive/folders/12whTxcIOAEoXo4-gRfG0ExMNgUhaMcMH
M6B2-2;C1077-Q9566;Morropon;Buenos Aires;333.01;Plantilla_Excel_Bloque_M6B2-2_IN_Piura.xlsx;1fey5NnbSqSMwXPJJREtJFHhttiRZA25m;DIAGNOSTICO BLOQUE M6B2-2;https://drive.google.com/drive/folders/1fey5NnbSqSMwXPJJREtJFHhttiRZA25m
M6B2-1;C1077-Q9566;Morropon;Buenos Aires;514.36;Plantilla_Excel_Bloque_M6B2-1_IN_Piura.xlsx;1xHML6Gok5DCvH73a_rW3gwD_4My1Y46F;DIAGNOSTICO BLOQUE M6B2-1;https://drive.google.com/drive/folders/1xHML6Gok5DCvH73a_rW3gwD_4My1Y46F
M2B8;C1076-Q9584;Huancabamba;San Miguel de El Faique;116.1;Plantilla_Excel_Bloque_M2B8_IN_Piura.xlsx;1_G_OjnrE_IEvw99D9sYYWXPD1JykImNb;DIAGNOSTICO BLOQUE M2B8;https://drive.google.com/drive/folders/1_G_OjnrE_IEvw99D9sYYWXPD1JykImNb
81;C1076-Q9585;Huancabamba;Canchaque;8.93;Plantilla_Excel_Bloque_81_IN_Piura.xlsx;1-ty6pGpOBZSIZEOdIBw9027f_Ay0Gk_0;DIAGNOSTICO BLOQUE 81;https://drive.google.com/drive/folders/1-ty6pGpOBZSIZEOdIBw9027f_Ay0Gk_0
79;C1076-Q9587;Huancabamba;Canchaque;94.81;Plantilla_Excel_Bloque_79_IN_Piura.xlsx;11l-YffSaPgYcFurZzllQUdnK_z4AYKHr;DIAGNOSTICO BLOQUE 79;https://drive.google.com/drive/folders/11l-YffSaPgYcFurZzllQUdnK_z4AYKHr
M3B1;C1081-Q9582;Morropon;Salitral;80.98;Plantilla_Excel_Bloque_M3B1_IN_Piura.xlsx;1HFvHulGOSPG3b27ghFD4FVw80d52hye3;DIAGNOSTICO BLOQUE M3B1;https://drive.google.com/drive/folders/1HFvHulGOSPG3b27ghFD4FVw80d52hye3
77;C1081-Q9583;Morropon;San Juan de Bigote;17.82;Plantilla_Excel_Bloque_77_IN_Piura.xlsx;11qu0WhfrFa2O9v_PgAWl8A7XzhzfWTEz;DIAGNOSTICO BLOQUE 77;https://drive.google.com/drive/folders/11qu0WhfrFa2O9v_PgAWl8A7XzhzfWTEz
63;C1081-Q9583;Huancabamba;Canchaque;50.46;Plantilla_Excel_Bloque_63_IN_Piura.xlsx;1deRIqd5cJL7TkdwAeMMkVGcto0E0JF9p;DIAGNOSTICO BLOQUE 63;https://drive.google.com/drive/folders/1deRIqd5cJL7TkdwAeMMkVGcto0E0JF9p
64;C1081-Q9591;Huancabamba;Huancabamba;35.77;Plantilla_Excel_Bloque_64_IN_Piura.xlsx;17BKeddekMrOQVf7JTGERPcwhokZajSXH;DIAGNOSTICO BLOQUE 64;https://drive.google.com/drive/folders/17BKeddekMrOQVf7JTGERPcwhokZajSXH
60;C1081-Q9591;Huancabamba;Canchaque;40.13;Plantilla_Excel_Bloque_60_IN_Piura.xlsx;1jFRYMpbSbgxQI6VzGcqIycYnX2EdPNlz;DIAGNOSTICO BLOQUE 60;https://drive.google.com/drive/folders/1jFRYMpbSbgxQI6VzGcqIycYnX2EdPNlz
55;C1086-Q9575;Morropon;Yamango;0.86;Plantilla_Excel_Bloque_55_IN_Piura.xlsx;1fAdYS3zpP8w-dkC_BAoeLDamUlw7Z2cb;DIAGNOSTICO BLOQUE 55;https://drive.google.com/drive/folders/1fAdYS3zpP8w-dkC_BAoeLDamUlw7Z2cb
51;C1076-Q9593;Huancabamba;Huarmaca;22.93;Plantilla_Excel_Bloque_51_IN_Piura.xlsx;118YxaTa-CuWy6GoNWY7h78CTdrUTJpUC;DIAGNOSTICO BLOQUE 51;https://drive.google.com/drive/folders/118YxaTa-CuWy6GoNWY7h78CTdrUTJpUC
36;C1096-Q9547;Ayabaca;Frias;24.84;Plantilla_Excel_Bloque_36_IN_Piura.xlsx;1GgbWL1KKNbkQTwei1_l9udHLzr6zcI8r;DIAGNOSTICO BLOQUE 36;https://drive.google.com/drive/folders/1GgbWL1KKNbkQTwei1_l9udHLzr6zcI8r
58;C1086-Q9569;Morropon;Santa Catalina de Mossa;11.47;Plantilla_Excel_Bloque_58_IN_Piura.xlsx;1rvObOCAwKG3j6j4p3WJ-tX0VaBIJ1g5i;DIAGNOSTICO BLOQUE 58;https://drive.google.com/drive/folders/1rvObOCAwKG3j6j4p3WJ-tX0VaBIJ1g5i
40;C1081-Q9591;Huancabamba;Canchaque;28.52;Plantilla_Excel_Bloque_40_IN_Piura.xlsx;17wZNQScPGhIaXtJB1jeZl_3HIo-Tyh1d;DIAGNOSTICO BLOQUE 40;https://drive.google.com/drive/folders/17wZNQScPGhIaXtJB1jeZl_3HIo-Tyh1d
38;C1081-Q9590;Huancabamba;Lalaquiz;44.2;Plantilla_Excel_Bloque_38_IN_Piura.xlsx;1yuUQzI9jI-NAR_Tp__ZhacMnLhwkno7-;DIAGNOSTICO BLOQUE 38;https://drive.google.com/drive/folders/1yuUQzI9jI-NAR_Tp__ZhacMnLhwkno7-
30;C1081-Q9591;Huancabamba;Canchaque;34.87;Plantilla_Excel_Bloque_30_IN_Piura.xlsx;1tbGK5-zZJrPxCoDaObNg9n8Bb9WKZaQt;DIAGNOSTICO BLOQUE 30;https://drive.google.com/drive/folders/1tbGK5-zZJrPxCoDaObNg9n8Bb9WKZaQt
37;C1081-Q9591;Huancabamba;Lalaquiz;35.49;Plantilla_Excel_Bloque_37_IN_Piura.xlsx;1kZcdHqDfGdsS3tQpoqb4F1CslvQSD2G3;DIAGNOSTICO BLOQUE 37;https://drive.google.com/drive/folders/1kZcdHqDfGdsS3tQpoqb4F1CslvQSD2G3
34;C1081-Q9590;Huancabamba;Lalaquiz;28.45;Plantilla_Excel_Bloque_34_IN_Piura.xlsx;1xbJoctRyG2VSkVz-rqRQSpewaOWQu2ah;DIAGNOSTICO BLOQUE 34;https://drive.google.com/drive/folders/1xbJoctRyG2VSkVz-rqRQSpewaOWQu2ah
28;C1081-Q9591;Huancabamba;Canchaque;52.97;Plantilla_Excel_Bloque_28_IN_Piura.xlsx;13ZfYSrZ-gpN1SXIMKb51QTpvKbTU4c0C;DIAGNOSTICO BLOQUE 28;https://drive.google.com/drive/folders/13ZfYSrZ-gpN1SXIMKb51QTpvKbTU4c0C
23;C1086-Q9570;Morropon;Santo Domingo;81.78;Plantilla_Excel_Bloque_23_IN_Piura.xlsx;19pEvrXfVb_VfkaeqXz4K7wkB2l_e5mN9;DIAGNOSTICO BLOQUE 23;https://drive.google.com/drive/folders/19pEvrXfVb_VfkaeqXz4K7wkB2l_e5mN9
20;C1076-Q9593;Huancabamba;Huarmaca;81.33;Plantilla_Excel_Bloque_20_IN_Piura.xlsx;1cekf85Mct43h3h45D9QOHu_V-RQCqeoF;DIAGNOSTICO BLOQUE 20;https://drive.google.com/drive/folders/1cekf85Mct43h3h45D9QOHu_V-RQCqeoF
21;C1081-Q9591;Huancabamba;Canchaque;84.23;Plantilla_Excel_Bloque_21_IN_Piura.xlsx;1crn4mSKdbFqjA5zHkXMMm7vzCV_RMW-o;DIAGNOSTICO BLOQUE 21;https://drive.google.com/drive/folders/1crn4mSKdbFqjA5zHkXMMm7vzCV_RMW-o
8;C1076-Q9593;Huancabamba;Huarmaca;126.95;Plantilla_Excel_Bloque_8_IN_Piura.xlsx;1CXjBMWbcBXI3dWyUaoler79PaBtutF-4;DIAGNOSTICO BLOQUE 8;https://drive.google.com/drive/folders/1CXjBMWbcBXI3dWyUaoler79PaBtutF-4
5;C1077-Q9566;Morropon;Buenos Aires;295.73;Plantilla_Excel_Bloque_5_IN_Piura.xlsx;1nZp_rDFzAjNGSfFQHVVa42xcMGGtKUPn;DIAGNOSTICO BLOQUE 5;https://drive.google.com/drive/folders/1nZp_rDFzAjNGSfFQHVVa42xcMGGtKUPn
9;C1076-Q9586;Huancabamba;San Miguel de El Faique;109.86;Plantilla_Excel_Bloque_9_IN_Piura.xlsx;1pe1jtnrVqiQx_D_RysdYdXbs2URDGXGl;DIAGNOSTICO BLOQUE 9;https://drive.google.com/drive/folders/1pe1jtnrVqiQx_D_RysdYdXbs2URDGXGl
11;C1086-Q9570;Morropon;Santo Domingo;103.95;Plantilla_Excel_Bloque_11_IN_Piura.xlsx;16psVWpD1ZGHWVSAw7Xa0gaeFC9be3mvp;DIAGNOSTICO BLOQUE 11;https://drive.google.com/drive/folders/16psVWpD1ZGHWVSAw7Xa0gaeFC9be3mvp
4;C1076-Q9588;Huancabamba;Huarmaca;230.1;Plantilla_Excel_Bloque_4_IN_Piura.xlsx;1BmqzZivD26hDa4n3yfMgph8mni8fy9Of;DIAGNOSTICO BLOQUE 4;https://drive.google.com/drive/folders/1BmqzZivD26hDa4n3yfMgph8mni8fy9Of
