BLOQUE;MICROCUENCA;DISTRITO;PROVINCIA;AREA_HA;PCT_MAYOR_0_6139;PCT_0_4976_0_6139;PCT_0_3813_0_4976;PCT_0_2650_0_3813;PCT_MENOR_IGUAL_0_2650;HA_MAYOR_0_6139;HA_0_4976_0_6139;HA_0_3813_0_4976;HA_0_2650_0_3813;HA_MENOR_IGUAL_0_2650;PCT_BAJO_UMBRAL_0_4976;HA_BAJO_UMBRAL_0_4976;PCT_SOBRE_UMBRAL_0_4976;CLASE_MODAL;PIXELES;POLIG_EN_MAPA;MAPA_PNG
2;C1096-Q9558;CHULUCANAS;MORROPON;329.074;0.02;0.79;30.85;65.31;3.03;0.061;2.596;101.534;214.905;9.978;99.19;326.417;0.81;Vigor muy bajo;2197187;1;MSAVI Bloque 2.png
3;C1096-Q9545;FRIAS;AYABACA;457.958;32.8;37.92;28.05;1.23;0.0;150.197;173.668;128.46;5.634;0.0;29.28;134.093;70.72;Vigor moderado;1592300;1;3.png
4;C1076-Q9588;HUARMACA;HUANCABAMBA;229.965;72.12;19.05;7.56;0.96;0.31;165.859;43.814;17.383;2.198;0.712;8.82;20.292;91.18;Vigor alto;2129234;1;4.png
5;C1077-Q9566;BUENOS AIRES;MORROPON;295.297;0.0;0.17;25.01;63.72;11.1;0.0;0.488;73.868;188.176;32.765;99.83;294.809;0.17;Vigor muy bajo;1148957;1;MSAVI BLoque 5.png
6;C1096-Q9547;FRIAS;AYABACA;167.935;18.63;46.06;32.81;2.46;0.04;31.292;77.344;55.106;4.123;0.069;35.31;59.298;64.69;Vigor moderado;1363645;2;6.png
8;C1076-Q9593;HUARMACA;HUANCABAMBA;126.714;28.72;42.46;25.28;3.51;0.03;36.397;53.803;32.03;4.447;0.037;28.82;36.514;71.18;Vigor moderado;1415125;2;8.png
9;C1076-Q9586;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;109.754;27.25;61.21;11.19;0.35;0.0;29.91;67.18;12.282;0.381;0.0;11.54;12.663;88.46;Vigor moderado;1935979;1;9.png
10;C1076-Q9593;HUARMACA;HUANCABAMBA;149.538;24.93;48.12;23.1;3.08;0.77;37.273;71.961;34.545;4.611;1.148;26.95;40.305;73.05;Vigor moderado;1026096;1;10.png
11;C1086-Q9570;SANTO DOMINGO;MORROPON;103.884;43.7;44.97;11.25;0.07;0.0;45.401;46.72;11.691;0.072;0.0;11.32;11.763;88.68;Vigor moderado;1757589;3;MSAVI Bloque 11.png
12;C1086-Q9570;SANTO DOMINGO;MORROPON;119.567;89.31;10.62;0.07;0.0;0.0;106.791;12.695;0.082;0.0;0.0;0.07;0.082;99.93;Vigor alto;2036120;1;MSAVI Bloque 12.png
13;C1096-Q9564;SANTO DOMINGO;MORROPON;100.38;70.59;24.08;5.33;0.0;0.0;70.862;24.172;5.347;0.0;0.0;5.33;5.347;94.67;Vigor alto;2078408;1;MSAVI Bloque 13.png
14;C1086-Q9570;SANTA CATALINA DE MOSSA;MORROPON;92.746;13.42;47.16;34.15;5.28;0.0;12.442;43.742;31.668;4.894;0.0;39.42;36.562;60.58;Vigor moderado;1462280;2;MSAVI Bloque 14.png
15;C1086-Q9570;SANTO DOMINGO;MORROPON;85.671;26.04;51.44;22.11;0.41;0.0;22.305;44.071;18.945;0.349;0.0;22.52;19.294;77.48;Vigor moderado;2115707;2;MSAVI Bloque 15.png
16;C1076-Q9593;HUARMACA;HUANCABAMBA;83.316;57.89;34.66;7.23;0.22;0.0;48.229;28.874;6.027;0.187;0.0;7.46;6.214;92.54;Vigor alto;749762;1;16.png
17;C1086-Q9570;SANTO DOMINGO;MORROPON;96.063;69.63;28.43;1.93;0.0;0.0;66.893;27.315;1.855;0.0;0.0;1.93;1.855;98.07;Vigor alto;1191682;3;MSAVI Bloque 17.png
18;C1076-Q9592;HUARMACA;HUANCABAMBA;103.637;66.98;30.14;2.89;0.0;0.0;69.411;31.234;2.992;0.0;0.0;2.89;2.992;97.11;Vigor alto;1023029;1;18.png
19;C1076-Q9592;HUARMACA;HUANCABAMBA;81.929;27.02;30.61;38.98;3.39;0.01;22.134;25.078;31.932;2.78;0.005;42.37;34.717;57.63;Vigor bajo;2079197;1;19.png
20;C1076-Q9593;HUARMACA;HUANCABAMBA;81.106;6.05;34.78;52.33;6.84;0.0;4.906;28.208;42.445;5.548;0.0;59.17;47.993;40.83;Vigor bajo;2888695;1;20.png
21;C1081-Q9591;CANCHAQUE;HUANCABAMBA;84.205;49.54;45.56;4.88;0.01;0.0;41.717;38.367;4.11;0.01;0.0;4.89;4.121;95.11;Vigor alto;2792918;1;21.png
22;C1096-Q9556;CHULUCANAS;MORROPON;79.057;0.12;6.55;73.07;20.26;0.0;0.093;5.182;57.766;16.016;0.0;93.33;73.782;6.67;Vigor bajo;1154316;1;MSAVI Bloque 22.png
23;C1086-Q9570;SANTO DOMINGO;MORROPON;81.545;31.97;49.66;17.76;0.61;0.0;26.072;40.492;14.481;0.499;0.0;18.37;14.98;81.63;Vigor moderado;928315;4;MSAVI Bloque 23.png
24;C1081-Q9583;CANCHAQUE;HUANCABAMBA;90.13;75.12;22.57;2.31;0.0;0.0;67.702;20.344;2.084;0.0;0.0;2.31;2.084;97.69;Vigor alto;2578999;1;24.png
26;C1081-Q9591;LALAQUIZ;HUANCABAMBA;46.963;76.99;20.73;2.28;0.0;0.0;36.158;9.737;1.069;0.0;0.0;2.28;1.069;97.72;Vigor alto;1749706;1;26.png
27;C1096-Q9556;FRIAS;AYABACA;78.023;15.38;46.86;36.72;1.03;0.0;12.004;36.562;28.651;0.806;0.0;37.75;29.458;62.25;Vigor moderado;1476625;1;27.png
28;C1081-Q9591;CANCHAQUE;HUANCABAMBA;52.967;62.17;36.89;0.94;0.0;0.0;32.932;19.54;0.496;0.0;0.0;0.94;0.496;99.06;Vigor alto;1290530;1;28.png
30;C1081-Q9591;CANCHAQUE;HUANCABAMBA;34.852;70.83;27.86;1.3;0.0;0.0;24.686;9.711;0.454;0.0;0.0;1.3;0.454;98.7;Vigor alto;2271621;1;30.png
31;C1076-Q9592;HUARMACA;HUANCABAMBA;47.173;5.34;14.27;54.92;24.21;1.26;2.52;6.733;25.905;11.419;0.597;80.39;37.921;19.61;Vigor bajo;762633;2;31.png
34;C1081-Q9590;LALAQUIZ;HUANCABAMBA;28.458;63.31;36.51;0.18;0.0;0.0;18.016;10.391;0.051;0.0;0.0;0.18;0.051;99.82;Vigor alto;1191653;1;34.png
35;C1076-Q9586;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;30.811;58.38;40.81;0.81;0.0;0.0;17.988;12.574;0.248;0.0;0.0;0.81;0.248;99.19;Vigor alto;1753959;1;35.png
36;C1096-Q9547;FRIAS;AYABACA;24.836;19.54;46.17;33.12;1.18;0.0;4.852;11.467;8.225;0.292;0.0;34.29;8.517;65.71;Vigor moderado;1034922;3;36.png
37;C1081-Q9591;LALAQUIZ;HUANCABAMBA;35.49;76.1;22.1;1.8;0.0;0.0;27.009;7.844;0.637;0.0;0.0;1.8;0.637;98.2;Vigor alto;1986533;1;37.png
38;C1081-Q9590;LALAQUIZ;HUANCABAMBA;44.212;73.31;26.24;0.45;0.0;0.0;32.412;11.603;0.197;0.0;0.0;0.45;0.197;99.55;Vigor alto;1899443;2;38.png
39;C1096-Q9564;FRIAS;AYABACA;68.511;83.04;13.17;3.79;0.0;0.0;56.893;9.022;2.596;0.0;0.0;3.79;2.596;96.21;Vigor alto;2391311;1;39.png
40;C1081-Q9591;CANCHAQUE;HUANCABAMBA;28.51;64.14;33.05;2.81;0.0;0.0;18.286;9.423;0.8;0.0;0.0;2.81;0.8;97.19;Vigor alto;2688098;1;40.png
41;C1076-Q9592;HUARMACA;HUANCABAMBA;64.933;42.96;45.11;11.66;0.27;0.0;27.897;29.292;7.572;0.172;0.0;11.93;7.744;88.07;Vigor moderado;911358;1;41.png
42;C1086-Q9570;SANTA CATALINA DE MOSSA;MORROPON;80.599;65.37;28.8;5.81;0.02;0.0;52.686;23.215;4.68;0.019;0.0;5.83;4.699;94.17;Vigor alto;1759696;1;MSAVI Bloque 42.png
43;C1076-Q9586;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;23.087;21.7;61.01;15.14;1.78;0.36;5.01;14.086;3.496;0.411;0.084;17.29;3.991;82.71;Vigor moderado;1818862;2;43.png
44;C1076-Q9586;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;28.159;7.39;39.69;52.93;0.0;0.0;2.08;11.176;14.903;0.0;0.0;52.93;14.903;47.07;Vigor bajo;1515078;1;44.png
47;C1076-Q9586;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;13.544;41.94;48.2;9.87;0.0;0.0;5.68;6.528;1.336;0.0;0.0;9.87;1.336;90.13;Vigor moderado;1354868;1;47.png
49;C1086-Q9575;YAMANGO;MORROPON;15.814;78.31;17.89;3.79;0.0;0.0;12.385;2.83;0.6;0.0;0.0;3.79;0.6;96.21;Vigor alto;2248816;2;MSAVI Bloque 49.png
50;C1081-Q9590;LALAQUIZ;HUANCABAMBA;19.272;81.32;18.32;0.36;0.0;0.0;15.671;3.531;0.07;0.0;0.0;0.36;0.07;99.64;Vigor alto;2460886;3;50.png
51;C1076-Q9593;HUARMACA;HUANCABAMBA;22.872;14.44;51.38;27.54;6.64;0.0;3.304;11.751;6.299;1.518;0.0;34.18;7.817;65.82;Vigor moderado;775626;1;51.png
52;C1086-Q9575;YAMANGO;MORROPON;11.063;68.95;27.14;3.91;0.0;0.0;7.628;3.003;0.432;0.0;0.0;3.91;0.432;96.09;Vigor alto;2233673;1;MSAVI Bloque 52.png
53;C1076-Q9592;HUARMACA;HUANCABAMBA;13.056;42.72;44.65;11.83;0.8;0.0;5.577;5.83;1.544;0.105;0.0;12.63;1.649;87.37;Vigor moderado;878614;2;53.png
55;C1086-Q9575;YAMANGO;MORROPON;0.859;54.44;43.39;2.17;0.0;0.0;0.468;0.373;0.019;0.0;0.0;2.17;0.019;97.83;Vigor alto;2287347;1;MSAVI Bloque 55.png
56;C1096-Q9564;FRIAS;AYABACA;77.541;78.92;18.28;2.78;0.03;0.0;61.192;14.175;2.154;0.021;0.0;2.8;2.175;97.2;Vigor alto;2259687;1;56.png
57;C1086-Q9576;CHALACO;MORROPON;25.608;39.36;56.5;4.14;0.0;0.0;10.08;14.468;1.06;0.0;0.0;4.14;1.06;95.86;Vigor moderado;1239757;1;MSAVI Bloque 57.png
58;C1086-Q9569;SANTA CATALINA DE MOSSA;MORROPON;11.46;0.0;2.59;80.75;16.67;0.0;0.0;0.296;9.254;1.91;0.0;97.41;11.164;2.59;Vigor bajo;2044164;1;MSAVI Bloque 58.png
59;C1086-Q9570;CHALACO;MORROPON;13.5;48.19;34.3;8.87;4.15;4.49;6.505;4.63;1.198;0.56;0.607;17.52;2.365;82.48;Vigor alto;516847;2;MSAVI Bloque 59.png
