REGISTRO DE COMPLETADO — Distribución areal MSAVI 2024 en los 117 libros
Proyecto IN Piura | CUI 2669244 | ANIN - DIME - SESDI
Generado por msavi/completar_msavi_plantillas.py

bloque   superficie de catálogo | filas escritas por hoja
  [escrito ] 10       150.210 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 11       103.950 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 12       119.540 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 13       100.510 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 14       92.900 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 15       86.150 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 16       83.330 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 17       96.080 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 18       103.620 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 19       82.090 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 2        330.600 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 20       81.330 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 21       84.230 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 22       79.330 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 23       81.780 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 24       90.160 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 26       46.960 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 27       78.150 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 28       52.970 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 3        459.290 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 30       34.870 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 31       47.580 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 34       28.450 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 35       30.800 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 36       24.840 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 37       35.490 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 38       44.200 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 39       68.570 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 4        230.100 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 40       28.520 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 41       64.920 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 42       80.620 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 43       23.170 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 44       28.230 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 47       13.550 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 49       15.840 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 5        295.730 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 50       19.270 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 51       22.930 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 52       11.060 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 53       13.060 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 55       0.860 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 56       77.670 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 57       25.670 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 58       11.470 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 59       13.550 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 6        168.410 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 60       40.130 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 61       26.830 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 63       50.460 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 64       35.770 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 66       102.340 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 67       13.180 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 69       19.430 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 70       22.390 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 71       10.670 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 72       12.400 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 73       54.290 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 76       19.620 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 77       17.820 ha | clases=5 resumen=3 consistencia=1
  [escrito ] 78       35.100 ha | clases=5 resumen=3 consistencia=1
